category,split,rank,object_id,geometry_proxy,raw_count,retained_count,retention_rate
bottle,train,1,core-bottle-714320da4aafcb4a47be2353d2b2403b,typical,40,31,0.775
bottle,train,2,core-bottle-dc005c019fbfb32c90071898148dca0e,medium,40,40,1.0
bottle,train,3,core-bottle-d3eea69d9d58401c76c2a9de5c96f76,medium,40,39,0.975
bottle,train,4,core-bottle-ba4b48d76eb79f7cf54e1b6f41fdd78a,unusual,40,38,0.95
bottle,test,1,core-bottle-91235f7d65aec958ca972daa503b3095,medium,40,37,0.925
bowl,train,1,core-bowl-4227b58665eadcefc0dc3ed657ab97f0,typical,35,33,0.9428571428571428
bowl,train,2,core-bowl-e3095ecacc36080cb398a1cfd1079875,medium,40,32,0.8
bowl,train,3,core-bowl-b65cbede8f483d51f7de4d28691515e1,medium,20,19,0.95
bowl,train,4,core-bowl-817221e45b63cef62f74bdafe5239fba,unusual,20,14,0.7
bowl,test,1,core-bowl-2d2c419136447fe667964ba700cd97f5,unusual,37,24,0.6486486486486487
camera,train,1,core-camera-82819e1201d2dc583a3e53900c6cbba,typical,40,38,0.95
camera,train,2,core-camera-a3c9dcaada9e04d09061da204e7c463c,medium,28,26,0.9285714285714286
camera,train,3,core-camera-9d79c246317bbbe87f72d6c7f2024896,medium,37,36,0.972972972972973
camera,train,4,core-camera-a59cbd50ecf38a1be2dc67b821479cc4,unusual,20,16,0.8
camera,test,1,core-camera-c9c9ffd08af8b268b52759c2c2fc0d1e,unusual,20,17,0.85
mug,train,1,core-mug-1a97f3c83016abca21d0de04f408950f,typical,40,36,0.9
mug,train,2,core-mug-b4ae56d6638d5338de671f28c83d2dcb,medium,40,39,0.975
mug,train,3,core-mug-35ce7ede92198be2b759f7fb0032e59,medium,40,38,0.95
mug,train,4,core-mug-c51b79493419eccdc1584fff35347dc6,unusual,20,20,1.0
mug,test,1,core-mug-92d6394732e6058d4bcbafcc905a9b98,unusual,20,17,0.85
