category,split,candidate_rank,object_id,trajectory_count,geometry_proxy,geometry_distance_to_category_center,physical_longest_extent,physical_bbox_volume,bbox_aspect_ratio,convex_piece_count,vertex_count,rotation_angle_std,final_action_dispersion
bottle,test,1,core-bottle-ff13595434879bba557ef92e2fa0ccb2,40,typical,0.26332151400413134,0.18667520278167724,0.0008362486416409404,2.874924921687545,2,652,1.1044553518295288,0.27682653069496155
bottle,test,2,core-bottle-74e5ea1a783a5f5f533775ea6714a372,40,unusual,1.0505931591817128,0.10317785128767044,0.0003224012793381305,1.916531626213971,2,484,0.8422456979751587,0.2948836386203766
bottle,backups,3,core-bottle-495dea92a04b43e6be9fabb33de62010,40,unusual,1.452960528674312,0.11679807738935948,0.0012652866770027362,1.1221710831742282,14,1975,0.837655782699585,0.26178401708602905
bottle,backups,4,core-bottle-41ab1142420916e374bb1e92fd01dc00,40,unusual,1.2383224455836843,0.09120347229878605,0.00039795450036594774,1.533333602328964,12,958,1.0471158027648926,0.23807163536548615
mug,test,1,core-mug-e94e46bc5833f2f5e57b873e4f3ef3a4,40,typical,0.47338495672280384,0.10836880892693995,0.0006928667491191473,1.4374989553910178,18,981,1.1408567428588867,0.29072126746177673
mug,test,2,core-mug-5582a89be131867846ebf4f1147c3f0f,40,unusual,1.07040008913726,0.08868335251158477,0.0004878327560972522,1.2432423339097902,14,1706,0.6559368371963501,0.2708466649055481
mug,backups,3,core-mug-162201dfe14b73f0281365259d1cf342,40,unusual,1.1065998946394167,0.1240740772267282,0.0011373597036582563,1.31428615010186,38,2201,0.9259707927703857,0.2904336154460907
mug,backups,4,core-mug-bf2b5e941b43d030138af902bc222a59,40,unusual,1.1580671345072604,0.08268689301792533,0.0004937577125137709,1.0952162593459132,19,2668,1.3229938745498657,0.2926756739616394
bowl,test,1,core-bowl-a29f53390194166665c638ab0bc6bc66,40,typical,0.40579789879427614,0.1500505566461086,0.0009547512403853042,3.538527713843716,19,1016,1.2268311977386475,0.2938697040081024
bowl,test,2,core-bowl-d28f7a7a8fbc5fc925b5a13384fa548b,40,unusual,1.3738786270669556,0.09496697198099643,0.0007836335105788065,1.045447880283439,19,3418,0.8594639301300049,0.28339698910713196
bowl,backups,3,core-bowl-bb7586ebee0dc2be4e346ee2650d150,40,unusual,1.2202569522557383,0.10039655152252316,0.0006159084337623488,1.6430101107498765,5,750,0.8594639301300049,0.29076534509658813
bowl,backups,4,core-bowl-a9ba34614bfd8ca9938afc5c0b5b182,40,unusual,1.486120197370032,0.11158687750583887,0.0013893818699489634,1.0000315459222593,21,2818,0.8745824098587036,0.32837969064712524
camera,test,1,core-camera-98fc1afc8dec9773b10c2418bc64b141,40,typical,0.3274789752609116,0.12493119720757007,0.0006717749863537845,1.7037051583327332,18,960,1.1107207536697388,0.30554383993148804
camera,test,2,core-camera-d680d61f934eaa163b211460f022e3d9,40,unusual,0.9679749489213677,0.11067807752615212,0.001355766256385385,1.0,4,1485,1.0419484376907349,0.2670140564441681
camera,backups,3,core-camera-2693df58698a2ca29c723bc28575d785,40,unusual,1.075858964285321,0.09584915190650523,0.00022472005397533774,2.3000037433878813,2,298,0.837655782699585,0.2912856638431549
camera,backups,4,core-camera-290abe056b205c08240c46d333a693f,40,unusual,1.0846686229524949,0.13577650202322752,0.0017805241567410176,1.3142043815685298,58,3931,1.2443047761917114,0.26132258772850037
